Date,Temperature,Humidity,Precipitation,WindSpeed
2024-01-01,14.7,90.5,5.5,14.1
2024-01-02,12.9,87.0,9.1,6.7
2024-01-03,15.5,80.8,1.1,8.1
2024-01-04,18.2,75.7,12.2,9.8
2024-01-05,13.1,84.9,16.9,14.7
2024-01-06,13.3,82.6,20.4,12.1
2024-01-07,18.9,85.9,1.8,8.1
2024-01-08,16.6,83.9,5.1,10.1
2024-01-09,13.1,86.6,19.0,9.2
2024-01-10,16.3,75.3,8.7,8.9
2024-01-11,13.4,88.1,16.7,13.9
2024-01-12,13.6,80.0,2.9,6.9
2024-01-13,15.8,93.0,26.7,15.8
2024-01-14,9.5,73.4,2.7,13.5
2024-01-15,10.3,90.2,11.9,14.3
2024-01-16,13.9,79.2,12.1,9.6
2024-01-17,12.7,73.1,6.6,10.6
2024-01-18,16.9,74.1,14.9,6.7
2024-01-19,13.4,75.0,15.2,9.4
2024-01-20,12.1,80.0,14.0,12.5
2024-01-21,20.9,80.5,6.5,14.9
2024-01-22,15.9,72.6,5.4,7.7
2024-01-23,17.0,76.3,7.2,9.9
2024-01-24,12.7,91.2,4.8,10.5
2024-01-25,15.5,88.1,23.0,6.8
2024-01-26,17.6,78.9,7.7,12.8
2024-01-27,14.0,75.9,11.6,8.8
2024-01-28,18.8,76.3,19.0,10.4
2024-01-29,16.0,79.5,4.5,9.6
2024-01-30,17.1,67.8,2.6,8.6
2024-01-31,16.4,73.0,4.8,11.0
2024-02-01,23.9,62.9,12.7,10.4
2024-02-02,18.5,77.2,12.0,9.9
2024-02-03,15.5,78.7,13.9,8.8
2024-02-04,21.3,70.6,9.4,12.0
2024-02-05,15.4,84.8,9.2,16.0
2024-02-06,19.8,65.0,20.8,11.4
2024-02-07,13.5,63.1,24.7,14.0
2024-02-08,15.6,74.7,11.0,6.8
2024-02-09,20.3,80.3,12.0,11.5
2024-02-10,22.1,84.5,16.4,7.7
2024-02-11,20.6,69.3,24.2,6.6
2024-02-12,19.9,79.9,10.3,8.8
2024-02-13,19.5,71.9,16.3,14.6
2024-02-14,16.1,70.7,6.3,13.9
2024-02-15,18.6,77.9,3.0,11.7
2024-02-16,19.5,76.1,6.9,6.4
2024-02-17,24.2,60.3,28.2,10.4
2024-02-18,22.2,81.5,16.5,11.9
2024-02-19,16.1,80.6,3.3,11.5
2024-02-20,22.5,66.4,17.1,5.5
2024-02-21,20.5,73.3,3.6,8.3
2024-02-22,19.8,73.8,13.8,10.8
2024-02-23,23.8,72.0,4.4,12.6
2024-02-24,25.3,66.1,3.1,4.4
2024-02-25,25.1,65.1,31.4,10.5
2024-02-26,20.0,69.4,7.7,11.4
2024-02-27,21.7,77.6,16.3,13.5
2024-02-28,23.8,73.1,10.6,13.1
2024-02-29,25.9,66.5,3.9,12.7
2024-03-01,21.6,74.3,8.4,8.6
2024-03-02,22.7,48.8,3.9,5.3
2024-03-03,20.1,76.6,47.3,9.8
2024-03-04,19.9,56.2,18.5,14.0
2024-03-05,26.1,65.7,10.5,15.2
2024-03-06,27.9,60.2,15.6,13.1
2024-03-07,23.7,58.8,17.6,12.3
2024-03-08,27.1,75.8,17.6,12.1
2024-03-09,25.3,64.3,17.1,9.3
2024-03-10,22.4,69.8,16.1,10.6
2024-03-11,25.6,66.9,11.2,16.0
2024-03-12,29.2,70.4,29.8,8.2
2024-03-13,24.6,67.4,11.7,15.8
2024-03-14,29.6,57.8,10.7,10.0
2024-03-15,17.1,73.6,11.8,15.0
2024-03-16,27.6,63.0,12.5,6.8
2024-03-17,25.5,55.4,1.8,12.8
2024-03-18,24.5,63.2,4.7,8.8
2024-03-19,25.7,76.5,9.4,6.8
2024-03-20,19.6,71.9,1.7,11.7
2024-03-21,25.0,63.3,10.4,14.0
2024-03-22,26.9,63.2,12.3,8.5
2024-03-23,30.3,63.3,2.9,6.5
2024-03-24,24.5,79.9,5.9,10.7
2024-03-25,23.7,67.9,25.4,10.7
2024-03-26,24.7,68.2,15.8,12.6
2024-03-27,29.1,72.2,15.1,13.8
2024-03-28,27.4,66.6,23.3,10.8
2024-03-29,24.9,63.0,4.8,16.6
2024-03-30,28.1,63.3,2.9,11.7
2024-03-31,27.0,64.1,21.1,10.0
2024-04-01,29.7,64.2,9.6,6.2
2024-04-02,24.7,69.5,4.7,10.2
2024-04-03,25.9,64.7,1.8,10.0
2024-04-04,25.8,69.3,11.9,13.9
2024-04-05,22.7,63.6,8.7,12.4
2024-04-06,28.0,64.6,7.5,7.5
2024-04-07,28.0,50.0,0.6,11.5
2024-04-08,27.3,70.3,29.5,13.0
2024-04-09,26.6,66.2,2.3,15.6
2024-04-10,23.2,70.7,8.2,13.7
2024-04-11,26.2,43.4,7.0,13.3
2024-04-12,26.5,78.2,16.1,11.2
2024-04-13,25.2,62.5,1.8,12.2
2024-04-14,27.1,71.2,14.7,14.7
2024-04-15,28.9,56.1,12.0,7.0
2024-04-16,33.4,67.6,5.6,10.0
2024-04-17,28.3,55.9,14.3,8.7
2024-04-18,28.6,58.9,10.4,12.1
2024-04-19,27.6,76.6,34.4,14.7
2024-04-20,22.1,61.9,8.7,9.2
2024-04-21,27.8,64.7,4.1,3.8
2024-04-22,28.1,69.2,14.8,9.8
2024-04-23,35.3,66.6,7.8,13.7
2024-04-24,27.4,64.1,10.3,12.6
2024-04-25,28.9,65.6,2.9,12.3
2024-04-26,27.9,79.9,16.3,10.2
2024-04-27,24.5,62.6,6.8,7.2
2024-04-28,31.4,64.4,12.7,12.5
2024-04-29,30.3,70.4,40.3,8.5
2024-04-30,30.4,70.7,8.3,17.6
2024-05-01,25.3,71.3,18.0,12.7
2024-05-02,32.2,67.5,8.8,9.3
2024-05-03,23.8,55.0,5.7,9.2
2024-05-04,29.7,74.5,26.0,10.7
2024-05-05,34.5,55.0,1.2,10.3
2024-05-06,25.0,65.2,21.4,14.4
2024-05-07,26.2,57.8,1.0,11.6
2024-05-08,28.2,62.7,19.8,8.8
2024-05-09,26.4,65.4,10.4,16.7
2024-05-10,23.2,65.4,4.1,11.1
2024-05-11,28.0,66.2,7.2,13.3
2024-05-12,24.6,74.5,17.3,9.2
2024-05-13,29.2,66.5,37.8,12.1
2024-05-14,25.0,61.6,1.9,11.9
2024-05-15,32.3,70.1,4.4,5.3
2024-05-16,25.3,71.8,2.6,17.0
2024-05-17,26.6,54.9,8.7,14.9
2024-05-18,30.0,67.7,20.2,9.8
2024-05-19,23.8,68.5,2.2,7.7
2024-05-20,28.1,61.6,10.2,12.0
2024-05-21,31.3,73.4,19.8,11.3
2024-05-22,22.5,62.8,7.1,12.1
2024-05-23,27.8,64.8,12.0,11.6
2024-05-24,28.0,62.8,24.7,12.5
2024-05-25,29.5,64.2,3.6,15.3
2024-05-26,23.3,56.5,1.4,12.7
2024-05-27,23.0,54.2,13.2,7.9
2024-05-28,28.4,75.5,13.5,15.1
2024-05-29,27.7,58.5,6.7,15.9
2024-05-30,27.5,57.6,5.5,20.5
2024-05-31,27.7,49.6,10.6,7.6
2024-06-01,24.5,60.3,3.5,11.7
2024-06-02,27.1,55.6,3.5,4.8
2024-06-03,27.2,76.5,17.2,12.7
2024-06-04,24.1,72.2,3.3,9.4
2024-06-05,31.8,60.4,1.5,16.8
2024-06-06,27.5,81.1,5.5,8.7
2024-06-07,22.4,72.3,6.8,5.9
2024-06-08,27.8,63.3,14.7,9.6
2024-06-09,22.8,48.2,6.0,5.1
2024-06-10,28.0,81.9,27.7,13.3
2024-06-11,29.0,56.2,11.0,4.8
2024-06-12,23.0,54.6,4.8,11.1
2024-06-13,28.2,73.4,14.2,4.8
2024-06-14,26.4,83.5,27.3,10.0
2024-06-15,27.5,76.2,16.8,15.9
2024-06-16,30.6,70.6,2.1,12.1
2024-06-17,24.1,71.0,7.3,8.4
2024-06-18,22.4,73.0,12.5,10.9
2024-06-19,21.9,72.5,16.3,11.1
2024-06-20,22.0,69.3,8.8,12.4
